"month_n","state_n","district_n","sub_district","mdrtly_stntd","svrly_stntd","svr_wstg","mdrtly_wstd","svrly_uw","mdrtly_uw","nb_lbw","svr_wasting_percent","wasting_percent","stunting_percent","svrly_stunted_percent","underweight_percent","svrly_underweight_percent","low_birth_weight_percent"
"Dec","Maharashtra","Gadchiroli","Kurkheda",1224,1128,59,234,330,1056,24,1.35,6.71,53.63,25.72,29.62,7.05,23.76
"Dec","Maharashtra","Gadchiroli","Mulchera",930,640,61,178,197,735,8,1.78,6.97,45.75,18.65,24.77,5.24,20.00
"Dec","Maharashtra","Gadchiroli","Sironcha",1432,1085,104,281,316,1113,14,2.04,7.54,49.21,21.21,26.03,5.76,15.73
"Dec","Maharashtra","Gondia","Amgaon",1809,1210,77,283,222,944,20,1.08,5.05,42.34,16.97,13.20,2.51,15.87
"Dec","Maharashtra","Gondia","Arjuni Morgaon",1885,1500,116,279,305,1380,26,1.51,5.14,44.00,19.50,17.21,3.11,16.35
"Dec","Maharashtra","Gondia","Deori",1563,936,86,267,183,665,26,1.09,4.46,31.53,11.81,10.48,2.26,19.40
"Dec","Maharashtra","Gondia","Gondiya",5436,2894,581,1330,858,3241,81,2.16,7.09,30.87,10.72,14.73,3.08,17.72
"Dec","Maharashtra","Gondia","Goregaon",1594,864,85,291,257,890,24,1.08,4.76,31.07,10.92,13.81,3.10,17.27
"Dec","Maharashtra","Gondia","Sadak Arjuni",1303,719,106,318,223,819,21,1.63,6.53,31.09,11.06,13.41,2.87,17.21
"Dec","Maharashtra","Gondia","Salekasa",1427,772,69,215,205,800,23,1.09,4.49,34.72,12.19,15.58,3.18,22.33
"Dec","Maharashtra","Gondia","Tirora",1773,895,115,377,215,911,24,1.27,5.41,29.33,9.84,11.51,2.20,14.04
"Dec","Maharashtra","Hingoli","Aundha (Nagnath)",2472,2103,395,707,695,2202,54,3.49,9.73,40.29,18.52,21.93,5.26,29.51
"Dec","Maharashtra","Hingoli","Basmath",3326,2415,307,683,552,2275,48,2.24,7.22,41.82,17.59,18.56,3.62,19.83
"Dec","Maharashtra","Hingoli","Hingoli",2800,2134,429,822,810,2627,82,3.00,8.76,34.43,14.89,17.23,4.06,23.36
"Dec","Maharashtra","Hingoli","Kalamnuri",1987,1688,133,432,469,1710,31,1.27,5.38,34.94,16.05,15.10,3.25,12.81
"Dec","Maharashtra","Hingoli","Sengaon",2137,1344,100,321,348,1256,31,1.01,4.24,35.01,13.52,12.37,2.68,14.42
