"month_n","state_n","district_n","sub_district","mdrtly_stntd","svrly_stntd","svrly_wstd","mdrtly_wstd","svrly_uw","mdrtly_uw","nb_lbw","wstd_chld","stntd_chld","uw_chld","svrly_wasting_percent","wasting_percent","svrly_stunting_percent","stunting_percent","svrly_underweight_percent","underweight_percent","low_birth_weight_percent"
"Dec","Maharashtra","Jalgaon","Yawal",3030,1689,351,688,471,1901,31,1039,4719,2372,2.64,7.80,12.66,35.37,3.42,17.23,14.98
"Dec","Maharashtra","Jalna","Ambad",2903,2281,402,731,470,1651,48,1133,5184,2121,2.75,7.76,15.58,35.40,2.78,12.57,22.43
"Dec","Maharashtra","Jalna","Badnapur",2511,2078,207,444,461,1284,47,651,4589,1745,1.86,5.85,18.64,41.16,3.69,13.96,27.17
"Dec","Maharashtra","Jalna","Bhokardan",3104,3290,385,728,566,1893,45,1113,6394,2459,2.18,6.31,18.59,36.13,2.49,10.84,17.31
"Dec","Maharashtra","Jalna","Ghansawangi",2630,1779,375,604,300,1109,45,979,4409,1409,2.46,6.43,11.65,28.87,1.78,8.35,19.15
"Dec","Maharashtra","Jalna","Jafrabad",1620,669,217,398,165,807,32,615,2289,972,1.86,5.26,5.72,19.57,1.33,7.83,25.00
"Dec","Maharashtra","Jalna","Jalna",7314,5300,927,1930,1335,5178,71,2857,12614,6513,3.10,9.57,17.68,42.08,4.12,20.11,20.46
"Dec","Maharashtra","Jalna","Mantha",1675,1353,229,553,284,1016,30,782,3028,1300,2.18,7.45,12.84,28.73,2.48,11.37,20.55
"Dec","Maharashtra","Jalna","Partur",1345,1064,214,300,177,759,23,514,2409,936,2.56,6.15,12.68,28.72,1.68,8.88,16.79
"Dec","Maharashtra","Kolhapur","Ajra",469,165,9,58,43,209,5,67,634,252,0.21,1.57,3.87,14.88,0.91,5.32,8.62
"Dec","Maharashtra","Kolhapur","Bavda",480,271,39,121,92,368,16,160,751,460,1.96,8.06,13.64,37.80,4.26,21.32,47.06
"Dec","Maharashtra","Kolhapur","Bhudargad",1220,557,55,149,127,524,14,204,1777,651,0.83,3.07,8.37,26.70,1.84,9.42,22.22
"Dec","Maharashtra","Kolhapur","Chandgad",1207,568,97,250,153,640,13,347,1775,793,1.22,4.36,7.12,22.26,1.67,8.68,9.15
"Dec","Maharashtra","Kolhapur","Gadhinglaj",1515,637,32,177,132,613,7,209,2152,745,0.35,2.27,6.93,23.40,1.35,7.63,5.74
"Dec","Maharashtra","Kolhapur","Hatkanangle",6084,2635,439,1550,877,4088,39,1989,8719,4965,1.32,5.96,7.89,26.10,2.29,12.96,10.99
"Dec","Maharashtra","Kolhapur","Kagal",1726,599,83,387,220,1030,16,470,2325,1250,0.73,4.14,5.28,20.50,1.77,10.04,10.67
"Dec","Maharashtra","Kolhapur","Karvir",3223,990,81,515,307,1611,11,596,4213,1918,0.46,3.37,5.60,23.84,1.63,10.19,10.00
"Dec","Maharashtra","Kolhapur","Kolhapur",4682,2423,463,1179,659,2319,92,1642,7105,2978,1.60,5.68,8.38,24.56,2.04,9.23,24.08
"Dec","Maharashtra","Kolhapur","Panhala",1343,426,29,232,180,701,30,261,1769,881,0.22,2.00,3.27,13.57,1.24,6.08,14.49
"Dec","Maharashtra","Kolhapur","Radhanagari",1100,384,52,181,126,540,20,233,1484,666,0.54,2.42,3.99,15.41,1.18,6.24,13.16
"Dec","Maharashtra","Kolhapur","Shahuwadi",1715,796,44,286,194,937,9,330,2511,1131,0.51,3.81,9.18,28.95,2.18,12.68,8.41
"Dec","Maharashtra","Kolhapur","Shirol",2347,805,119,433,289,1174,22,552,3152,1463,0.68,3.17,4.62,18.09,1.55,7.83,8.59
"Dec","Maharashtra","Latur","Ahmadpur",1757,1522,178,250,274,1080,43,428,3279,1354,2.26,5.43,19.29,41.56,2.57,12.69,27.74
"Dec","Maharashtra","Latur","Ausa",2162,1224,181,341,307,1071,45,522,3386,1378,1.49,4.29,10.05,27.80,1.97,8.83,19.31
"Dec","Maharashtra","Latur","Chakur",1928,1005,160,307,193,961,10,467,2933,1154,1.51,4.42,9.49,27.71,1.63,9.75,7.63
"Dec","Maharashtra","Latur","Deoni",663,519,81,159,86,350,10,240,1182,436,2.08,6.15,13.28,30.24,1.82,9.23,10.42
"Dec","Maharashtra","Latur","Jalkot",756,523,117,148,139,451,16,265,1279,590,3.43,7.77,15.27,37.33,3.48,14.76,23.19
"Dec","Maharashtra","Latur","Latur",1653,1098,256,386,304,1066,23,642,2751,1370,2.70,6.78,11.58,29.02,2.72,12.27,14.47
"Dec","Maharashtra","Latur","Murud",934,414,56,140,102,480,12,196,1348,582,0.94,3.28,6.93,22.57,1.20,6.87,11.01
"Dec","Maharashtra","Latur","Nilanga",1844,1099,168,307,313,1052,41,475,2943,1365,1.73,4.89,11.29,30.22,2.34,10.21,17.30
"Dec","Maharashtra","Latur","Renapur",1140,772,84,179,166,660,20,263,1912,826,1.50,4.69,13.76,34.08,2.33,11.58,16.81
"Dec","Maharashtra","Latur","Sirur Anantpal",649,340,39,92,89,308,6,131,989,397,1.21,4.05,10.50,30.54,2.37,10.56,12.77
"Dec","Maharashtra","Latur","Udgir",3459,2720,422,802,1004,3159,111,1224,6179,4163,2.92,8.48,18.77,42.65,4.60,19.07,27.07
"Dec","Maharashtra","Mumbai City","Mumbai",6127,3763,1074,2572,1433,5506,67,3646,9890,6939,3.17,10.77,11.03,28.99,3.34,16.19,16.26
"Dec","Maharashtra","Mumbai Suburban","Mumbai",30196,18090,3879,11122,6417,26150,331,15001,48286,32567,2.74,10.60,12.73,33.98,3.40,17.26,16.52
"Dec","Maharashtra","Nagpur","Bhiwapur",616,455,10,80,103,470,5,90,1071,573,0.36,3.23,16.33,38.43,2.31,12.87,8.62
"Dec","Maharashtra","Nagpur","Hingna",2745,1266,97,408,358,1225,29,505,4011,1583,0.59,3.09,7.74,24.51,1.81,7.99,11.46
"Dec","Maharashtra","Nagpur","Kalameshwar",1222,703,52,187,152,740,15,239,1925,892,1.01,4.65,13.66,37.41,2.83,16.60,21.74
"Dec","Maharashtra","Nagpur","Kamptee",2468,1414,193,498,338,1554,36,691,3882,1892,1.31,4.71,9.61,26.39,2.05,11.45,13.95
"Dec","Maharashtra","Nagpur","Katol",1390,955,47,127,140,649,15,174,2345,789,0.79,2.92,15.99,39.27,2.12,11.94,18.75
"Dec","Maharashtra","Nagpur","Kuhi",1386,907,53,202,138,854,14,255,2293,992,1.00,4.81,17.08,43.17,2.15,15.43,21.21
