month_n,state_n,district_n,mdrtly_stntd,svrly_stntd,svr_wstg,mdrtly_wstd,svrly_uw,mdrtly_uw,nb_lbw,wasting_percent,stunting_percent,underweight_percent,low_birth_weight_percent,no_chld_bf_at_birth,no_chld_excly_bf,no_chld_rcvg_cf_wid_adq_dt_dvsty,no_chld_cf_wid_adq_dt_qnty,tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg,total_no_chld_enrld_cas_born_lstmnth,total_no_chld_0t6mnths_enrld_cas,no_chld_appr_cf,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_rcvg_cf_wid_adq_dt_dvsty,prnt_chld_cf_wid_adq_dt_qnty,per_no_chld_cf_wid_appr_hndwhg_bfr_fdg,prnt_intd_6to8mnth_cf_child,prnt_child_1yr_immnztn,prnt_intd_cf_6to24mnth_child,prnt_anwmic_wmn,prnt_4_anc_vst_dlvry,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_wmn_rstg_drg_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf
Jan,Maharashtra,Mumbai City,6139,3531,929,2488,1369,5359,70,10.26,28.86,15.98,18.37,345,4044,14898,14962,16491,449,5570,16612,76.84,72.6,89.68,90.07,99.27,82.16,11.62,81.06,6.43,5.6,88.34,88.77,70.71
Jan,Maharashtra,Mumbai Suburban,33490,19466,4257,11852,6617,27520,319,10.37,33.94,17.05,16.6,1744,19168,70114,73863,79023,2168,25432,79812,80.44,75.37,87.85,92.55,99.01,86.15,17.62,81.95,8.14,6.18,94.78,94.57,76.58
Jan,Maharashtra,Nagpur,29620,17269,2309,6060,4224,19027,451,5.74,32.08,12.98,16.62,2462,19079,57190,55540,62043,2974,25520,62961,82.78,74.76,90.83,88.21,98.54,85.5,25.04,85.14,15.22,14.06,93,92.72,73.54
Jan,Maharashtra,Nanded,28432,19689,2307,5322,4433,17600,479,4.84,30.43,10.97,16.54,2450,21466,60590,59231,64933,3169,28530,66468,77.31,75.24,91.16,89.11,97.69,88,13.92,84.57,12.51,13.15,93.05,92.37,73.7
Jan,Maharashtra,Nandurbar,32700,35658,1329,6450,10757,32000,292,7.21,63.23,37.5,17.43,1505,12005,30557,29917,34435,1933,16595,35077,77.86,72.34,87.11,85.29,98.17,84.15,17.52,79.83,15.01,12.23,92.59,91.35,68.45
Jan,Maharashtra,Nashik,62593,48282,5196,12753,13328,47159,629,6.25,38.59,18.55,17.24,3298,28727,96781,94394,105076,4228,38932,106881,78,73.79,90.55,88.32,98.31,90.22,43.56,86.18,8.37,16.71,94.65,93.47,74.24
Jan,Maharashtra,Osmanabad,20457,9019,488,2796,2030,10318,149,3.45,30.93,12.4,11.72,1114,9319,29634,29350,31309,1374,12116,31884,81.08,76.91,92.94,92.05,98.2,89.3,17.53,88.97,11.43,16.37,95.93,95.29,76.44
Jan,Maharashtra,Palghar,37043,34168,736,4405,8233,31933,383,3.82,52.86,27.43,18.22,1773,13055,38645,39981,44159,2320,17480,44746,76.42,74.69,86.37,89.35,98.69,82.18,12.6,77.57,9.62,6.07,91.3,90.45,70.76
Jan,Maharashtra,Parbhani,15157,11158,817,2423,2330,8930,237,4.6,37.32,13.23,22.55,1002,8646,26757,26577,29180,1218,11728,29701,82.27,73.72,90.09,89.48,98.25,86.18,17.31,83.91,10.39,11.3,92.69,91.96,71.61
Jan,Maharashtra,Pune,48707,22880,3514,10477,5426,27007,386,4.32,22.07,9.2,11.39,2975,27396,101363,102990,110155,3886,36484,111413,76.56,75.09,90.98,92.44,98.87,87.95,27.22,85.79,11.11,16.14,94.29,94.11,76.44
