month_n,district_n,stunting_percent,wasting_percent,underweight_percent,low_birth_weight_percent,prnt_child_1yr_cmpltd_immunzt,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_intd_cf_past30d,prnt_chld_6to24mnths_intd_cf,prnt_anwmic_wmn,prnt_tenatus_cmpltd,prnt_wmn_1_anc_vst_dlvry,prnt_wmn_4_anc_vst_dlvry,prnt_wmn_rstg_drg_prgncy,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf
Nov,Mumbai City,29.17515,11.00275,16.12056,12.60684,9.03,71.75,68.88,77.12,83.22,6.43,25.52,49.64,4.51,83.43,82.9,70.73
Nov,Mumbai Suburban,33.20556,10.53339,17.05702,16.78193,13.87,74.15,73.47,83,89.83,8.24,29.32,54.37,3.89,92.35,92.42,77.54
Nov,Nagpur,33.56187,7.17928,14.45645,16.5844,19.18,76.39,73.18,82.33,88.79,15.3,40.28,71.14,10.73,89.15,89.39,71.63
Nov,Nanded,32.41887,6.43508,13.18771,17.02244,10.18,74.18,75.31,85.47,90.44,11.52,40.34,65.73,6.94,90.82,91.53,72.8
Nov,Nandurbar,67.75455,9.65621,41.32012,20.52378,13.6,73.67,73.35,83.6,89.57,13.8,40.58,64.65,9.05,89.02,89.97,67.54
Nov,Nashik,40.59147,6.91804,19.85096,17.01168,28.25,72.79,74.3,87.28,93.15,8.24,40.9,65.41,10.61,91.25,92.43,69.27
Nov,Osmanabad,34.39841,6.14655,15.04723,16.88312,12.44,77.92,75.79,88.03,93.47,11.22,39.59,67.56,11.18,93.39,93.8,73.42
Nov,Palghar,54.32293,5.79279,30.38956,16.09733,9.06,69.67,69.35,75.83,81.31,9.71,37.56,51.1,3.06,84.92,85.81,63.2
Nov,Parbhani,37.70058,5.80844,14.39674,21.14924,13.66,76.63,71.22,84.16,89.67,9.99,36.79,62.28,8.22,90.05,90.42,71.34
Nov,Pune,25.48974,5.7282,11.20625,12.12211,18.52,74.34,72.46,82.95,89.59,10.48,33.31,62,8.23,89.38,89.48,70.5
Nov,Raigad,23.82699,3.69856,9.43988,12.98137,24.08,75.4,70.31,78.91,86.88,9.99,43.04,65.46,10.1,89.14,89.05,68.11
Nov,Ratnagiri,29.75008,4.20421,13.80209,11.54791,30.58,75.33,72.28,84.9,90.06,13.67,48.8,71.24,10.24,93.16,93.07,73.25
Nov,Sangli,20.88811,4.35329,8.21038,11.47541,11.12,73.33,67.66,76.64,83.95,11.93,32.75,59.75,5.32,83.76,83.92,64.67
Nov,Satara,26.53207,3.57003,8.99577,12.63574,27.59,72.32,74.74,85.37,93.11,14.98,42.9,70.7,10.65,91.48,91.74,72.58
Nov,Sindhudurg,39.58146,5.55099,18.80889,17.5,27.46,77.78,68.97,80.67,86.72,17.88,52.37,70.12,10.29,90.06,89.88,72
Nov,Solapur,29.18321,4.68585,10.53072,14.45878,16.28,74.18,73.9,83.83,90.42,9.02,35.39,62.95,7.57,89.76,90.13,69.94
Nov,Thane,33.79604,7.70787,16.71548,17.71362,13.65,75.09,73.81,85.11,91.86,12.6,39.97,72.74,8.47,92.33,92.39,74.13
Nov,Wardha,40.5284,6.90873,17.80066,17.67857,18.71,67.9,75.57,84.07,92.56,16.96,45.11,75.72,9.08,93.74,94.41,74.49
Nov,Washim,37.53992,6.33276,16.57336,18.06569,22.09,71.09,73.84,85.74,90.87,14.6,41.33,69.46,11.62,90.06,90.84,70.87
Nov,Yavatmal,40.76344,6.66946,18.84628,18.41336,15.15,72.5,70.2,79.59,86.79,14.5,41.95,66.51,10.79,85.73,86.5,66.01
