"month_n","state_n","district_n","mdrtly_stntd","svrly_stntd","svr_wstg","mdrtly_wstd","svrly_uw","mdrtly_uw","nb_lbw","svr_wasting_percent","wasting_percent","stunting_percent","svrly_stunted_percent","underweight_percent","svrly_underweight_percent","low_birth_weight_percent"
"Nov","Maharashtra","Mumbai City",5900,3413,1068,2418,1382,4999,59,3.37,11.00,29.18,10.69,16.12,3.49,12.61
"Nov","Maharashtra","Mumbai Suburban",30311,18373,3753,11613,6667,25231,364,2.57,10.53,33.21,12.53,17.06,3.57,16.78
"Nov","Maharashtra","Nagpur",26577,17333,2715,6648,4888,19727,504,2.08,7.18,33.56,13.25,14.46,2.87,16.58
"Nov","Maharashtra","Nanded",26754,20396,3106,6225,5813,19303,622,2.14,6.44,32.42,14.02,13.19,3.05,17.02
"Nov","Maharashtra","Nandurbar",30138,39513,2586,7315,12517,32593,384,2.52,9.66,67.75,38.44,41.32,11.47,20.52
"Nov","Maharashtra","Nashik",58161,48075,5373,12703,14292,47802,641,2.06,6.92,40.59,18.37,19.85,4.57,17.01
"Nov","Maharashtra","Osmanabad",20011,10757,1511,3981,2938,11430,260,1.69,6.15,34.40,12.03,15.05,3.08,16.88
"Nov","Maharashtra","Palghar",33747,33941,1254,5952,9250,31159,344,1.01,5.79,54.32,27.24,30.39,6.96,16.10
"Nov","Maharashtra","Parbhani",14982,11097,1223,2785,2761,9261,265,1.77,5.81,37.70,16.04,14.40,3.31,21.15
"Nov","Maharashtra","Pune",41589,21479,3770,10385,6254,27576,409,1.53,5.73,25.49,8.68,11.21,2.07,12.12
"Nov","Maharashtra","Raigad",13315,6957,731,2412,2039,6986,209,0.86,3.70,23.83,8.18,9.44,2.13,12.98
"Nov","Maharashtra","Ratnagiri",11020,5574,409,1933,1401,7128,94,0.73,4.20,29.75,9.99,13.80,2.27,11.55
"Nov","Maharashtra","Sangli",15430,7036,1143,3535,1789,8027,203,1.06,4.35,20.89,6.54,8.21,1.50,11.48
"Nov","Maharashtra","Satara",20741,11890,1106,3281,2169,10175,256,0.90,3.57,26.53,9.67,9.00,1.58,12.64
"Nov","Maharashtra","Sindhudurg",5386,4279,234,1118,897,3954,63,0.96,5.55,39.58,17.52,18.81,3.48,17.50
"Nov","Maharashtra","Solapur",35730,20579,2576,6455,4575,19436,549,1.34,4.69,29.18,10.67,10.53,2.01,14.46
"Nov","Maharashtra","Thane",39470,24124,3660,10817,7372,28585,454,1.95,7.71,33.80,12.82,16.72,3.43,17.71
"Nov","Maharashtra","Wardha",10189,7851,928,2143,2618,9121,198,2.09,6.91,40.53,17.64,17.80,3.97,17.68
"Nov","Maharashtra","Washim",15209,9713,1212,2987,2767,9045,198,1.83,6.33,37.54,14.63,16.57,3.88,18.07
"Nov","Maharashtra","Yavatmal",25702,20997,2193,5437,6511,19854,441,1.92,6.67,40.76,18.33,18.85,4.65,18.41
