"month_n","state_n","district_n","block_n","no_anemic_wmn","no_pregnant_women","no_tenatus_cmpltd","no_wmn_rstg_drg_prgncy","no_wmn_etg_xtr_ml_drg_prgncy","no_trmstr_3wmn_cnsld_imdtbf","no_wmn_4_anc_vst_dlvry","no_wmn_1_anc_vst_dlvry","prnt_anwmic_wmn","prnt_tenatus_wmn","prnt_4_anc_vst_dlvry","prnt_1_anc_vst_dlvry","prnt_wmn_etg_xtr_ml_drng_prgncy","prnt_wmn_rstg_drg_prgncy","prnt_trmstr_3wmn_cnsld_imdtbf"
"Nov","Maharashtra","Satara","Khatav",206,1092,464,945,952,771,167,832,18.86,42.49,15.29,76.19,87.18,86.54,70.60
"Nov","Maharashtra","Satara","Koregaon",131,1074,521,1038,1039,852,132,834,12.20,48.51,12.29,77.65,96.74,96.65,79.33
"Nov","Maharashtra","Satara","Mahabaleshwar",23,203,109,194,195,155,45,173,11.33,53.69,22.17,85.22,96.06,95.57,76.35
"Nov","Maharashtra","Satara","Man",117,993,452,924,934,789,78,649,11.78,45.52,7.85,65.36,94.06,93.05,79.46
"Nov","Maharashtra","Satara","Patan",121,916,404,847,852,669,50,665,13.21,44.10,5.46,72.60,93.01,92.47,73.03
"Nov","Maharashtra","Satara","Phaltan",192,1530,721,1448,1447,1190,173,1082,12.55,47.12,11.31,70.72,94.58,94.64,77.78
"Nov","Maharashtra","Satara","Satara",373,2484,934,2315,2310,1842,230,1628,15.02,37.60,9.26,65.54,93.00,93.20,74.15
"Nov","Maharashtra","Satara","Wai",137,689,336,653,650,520,101,506,19.88,48.77,14.66,73.44,94.34,94.78,75.47
"Nov","Maharashtra","Sindhudurg","Devgad",50,335,157,267,268,198,9,179,14.93,46.87,2.69,53.43,80.00,79.70,59.10
"Nov","Maharashtra","Sindhudurg","Dodamarg",26,159,97,148,148,105,46,113,16.35,61.01,28.93,71.07,93.08,93.08,66.04
