month_n,state_n,district_n,mdrtly_stntd,svrly_stntd,svrly_wstd,mdrtly_wstd,svrly_uw,mdrtly_uw,nb_lbw,wstd_chld,stntd_chld,uw_chld,svrly_wasting_percent,wasting_percent,svrly_stunting_percent,stunting_percent,svrly_underweight_percent,underweight_percent,low_birth_weight_percent,no_chld_bf_at_birth,no_chld_appr_cf,no_chld_excly_bf,no_chld_rcvg_cf_wid_adq_dt_dvsty,no_chld_intd_cf_past30d,no_chld_cf_wid_adq_dt_qnty,tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg,no_of_chld_cmpltd_1yr_immunzt,total_no_chld_enrld_cas_born_lstmnth,total_no_chld_0t6mnths_enrld_cas,no_chld_appr_cf,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_rcvg_cf_wid_adq_dt_dvsty,prnt_chld_cf_wid_adq_dt_qnty,per_no_chld_cf_wid_appr_hndwhg_bfr_fdg,prnt_chld_intd_cf_p30d,prnt_child_1yr_immnztn,prnt_intd_cf_6to24mnth_child,no_anemic_wmn,no_pregnant_women,no_tenatus_cmpltd,no_wmn_rstg_drg_prgncy,no_wmn_etg_xtr_ml_drg_prgncy,no_trmstr_3wmn_cnsld_imdtbf,no_wmn_4_anc_vst_dlvry,prnt_anwmic_wmn,prnt_4_anc_vst_dlvry,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_wmn_rstg_drg_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf
Dec,Maharashtra,Wardha,11459,8542,878,2242,2480,8953,145,3120,20001,11433,1.74,6.17,16.87,39.51,3.79,17.47,16.22,733,20859,6529,18687,2926,18947,20505,16137,1041,8619,20859,70.41,75.75,89.59,90.83,98.3,84.69,23.53,83.67,1014,6229,2816,5853,5894,4837,884,16.28,14.19,94.62,93.96,77.65
Dec,Maharashtra,Washim,15051,9596,1062,2471,2369,8429,171,3533,24647,10798,1.56,5.2,14.1,36.21,3.26,14.88,17.4,861,23029,7234,20549,3341,19786,22499,19471,1143,9958,23029,75.33,72.65,89.23,85.92,97.7,85.27,25.86,82.07,1097,7439,3141,6776,6862,5378,1207,14.75,16.23,92.24,91.09,72.29
Dec,Maharashtra,Yavatmal,25403,20703,2115,5208,5763,19126,338,7323,46106,24889,1.83,6.35,17.91,39.89,4.08,17.61,16.99,1739,47402,14935,42953,6772,41667,46497,30383,2308,20849,47402,75.35,71.63,90.61,87.9,98.09,82.81,18.45,80.74,2298,14875,6588,13074,13201,10385,1718,15.45,11.55,88.75,87.89,69.82
Jan,Maharashtra,Ahmadnagar,37426,20429,1697,6609,4966,22404,466,8306,57855,27370,0.68,3.33,8.19,23.19,1.89,10.44,13.19,3292,85351,25745,79332,12413,78519,84183,76842,4029,33232,85351,81.71,77.47,92.95,92,98.63,89.51,28.14,88.84,3003,26094,9457,24818,24958,20126,4917,11.51,18.84,95.65,95.11,77.13
Jan,Maharashtra,Akola,15006,9098,1074,2894,1899,7817,240,3968,24104,9716,1.4,5.16,11.83,31.33,2.18,11.16,18.99,1153,28951,9139,25418,4135,24177,28506,11769,1481,12286,28951,77.85,74.39,87.8,83.51,98.46,83.86,12.09,79.72,1428,8762,3419,8106,8141,6501,1119,16.3,12.77,92.91,92.51,74.2
Jan,Maharashtra,Amravati,32780,22962,1815,5630,5649,23054,353,7445,55742,28703,1.4,5.76,17.74,43.05,3.94,20.01,16.81,1789,47393,13765,42130,6638,40986,46499,56651,2336,19060,47393,76.58,72.22,88.89,86.48,98.11,83.44,36.31,81.58,3308,13997,6292,12757,12849,10220,3485,23.63,24.9,91.8,91.14,73.02
Jan,Maharashtra,Aurangabad,45566,26955,2299,7987,6908,27685,503,10286,72521,34593,1.17,5.24,13.71,36.89,3.26,16.31,20.22,2378,71058,20041,64681,10519,62269,69832,44820,2954,27186,71058,80.5,73.72,91.03,87.63,98.27,88.34,19.22,85.49,1946,22754,8129,20977,21193,16695,2391,8.55,10.51,93.14,92.19,73.37
Jan,Maharashtra,Beed,26107,17527,2370,5507,3597,15672,427,7877,43634,19269,1.79,5.94,13.19,32.83,2.48,13.28,20.66,1774,51682,15348,46792,7383,46589,50763,21977,2355,20521,51682,75.33,74.79,90.54,90.15,98.22,87.07,12.22,84,1209,16963,5017,15607,15741,12493,1563,7.13,9.21,92.8,92.01,73.65
Jan,Maharashtra,Bhandara,14249,8212,672,2254,1595,6747,142,2926,22461,8342,0.99,4.3,12.05,32.97,2.19,11.45,13.1,941,21381,6971,19328,2898,19164,21082,21141,1223,8955,21381,76.94,77.84,90.4,89.63,98.6,86.95,30.12,84.73,1765,6782,3590,6442,6477,5200,1845,26.02,27.2,95.5,94.99,76.67
Jan,Maharashtra,Buldana,25159,13817,1195,4923,3465,17544,241,6118,38976,21009,1,5.1,11.51,32.46,2.2,13.34,11.86,1955,50896,15298,45550,7327,44608,50212,55551,2283,19821,50896,85.63,77.18,89.5,87.65,98.66,88.83,33.99,85,2032,15219,6154,14485,14581,11564,3074,13.35,20.2,95.81,95.18,75.98
